run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap,dataset
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.2,0.5,0.0,cicids2018
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,1.0,0.5,0.0,armor,gaussian_noise,0.2,,0.0,cicids2018
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,0.5,0.0,cicids2018
armor__atk=gaussian_noise__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,,0.0,cicids2018
armor__atk=label_flip__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.682833579744964,0.6600665496762645,0.2717715903872381,25,0.0,0.0,0.25,armor,label_flip,0.2,0.5,0.1478662292860223,cicids2018
armor__atk=label_flip__mal=0.2__alpha=None,0.8707416990081932,0.8708439384727155,0.7917398201195096,0.810111831060158,0.1608606296196793,25,0.0,0.0,0.125,armor,label_flip,0.2,,0.0790018788886836,cicids2018
armor__atk=label_flip__mal=0.4__alpha=0.5,0.5675629889730796,0.6678210555497016,0.6156575340356065,0.623459353472543,0.2700733634021179,25,0.3333333333333333,0.25,0.3333333333333333,armor,label_flip,0.4,0.5,0.0480945450625269,cicids2018
armor__atk=label_flip__mal=0.4__alpha=None,0.6476159674736648,0.6971325296491279,0.5043526304441569,0.5192338583300101,0.3327452082551284,25,0.0,0.0,0.1666666666666666,armor,label_flip,0.4,,0.1432633370295079,cicids2018
fedavg__atk=alie__mal=0.2__alpha=0.5,0.8306228053964148,0.7562000675180761,0.830678633031479,0.7541625490546848,2.874773710008769e-05,25,,0.0,0.0,fedavg,alie,0.2,0.5,5.582763506428723e-05,cicids2018
fedavg__atk=alie__mal=0.2__alpha=None,0.8036253311156286,0.7918664291822015,0.8283800745395182,0.7989887401161286,0.0673672769458136,25,,0.0,0.0,fedavg,alie,0.2,,0.0247547434238896,cicids2018
fedavg__atk=alie__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.738114489003881,0.665067578390598,0.2449577318470485,25,,0.0,0.0,fedavg,alie,0.4,0.5,0.0925853200271052,cicids2018
fedavg__atk=alie__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.8402251586274873,0.7716239673381835,0.0165357878124368,25,,0.0,0.0,fedavg,alie,0.4,,0.0095253495965009,cicids2018
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,0.5,0.0,cicids2018
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,,0.0,cicids2018
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,0.5,0.0,cicids2018
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,,0.0,cicids2018
fedavg__atk=label_flip__mal=0.2__alpha=0.5,0.7589940245179573,0.7256427865788411,0.7548935809770221,0.7467386663232187,0.1011680062694631,25,,0.0,0.0,fedavg,label_flip,0.2,0.5,0.0041004435409351,cicids2018
fedavg__atk=label_flip__mal=0.2__alpha=None,0.9454044230887698,0.938245669968081,0.5828193340725683,0.5915931629656386,0.3488409178696001,25,,0.0,0.0,fedavg,label_flip,0.2,,0.3625850890162015,cicids2018
fedavg__atk=label_flip__mal=0.4__alpha=0.5,0.8307460112117292,0.7551267566800035,0.7231392071705784,0.6806221285598815,0.2457045396391701,25,,0.0,0.0,fedavg,label_flip,0.4,0.5,0.1076068040411507,cicids2018
fedavg__atk=label_flip__mal=0.4__alpha=None,0.7445481426723342,0.7834923603027796,0.821911769235508,0.8072755740903039,0.1011693994986921,25,,0.0,0.0,fedavg,label_flip,0.4,,0.0773636265631738,cicids2018
foolsgold__atk=alie__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,foolsgold,alie,0.2,0.5,0.0,cicids2018
foolsgold__atk=alie__mal=0.2__alpha=None,0.8306998090309863,0.7538780190176303,0.7723137282079714,0.7444947510697254,0.1431279913257296,25,,0.0,0.0,foolsgold,alie,0.2,,0.0583860808230148,cicids2018
foolsgold__atk=alie__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.7329128934885727,0.6659357344523786,0.2587198600013032,25,,0.0,0.0,foolsgold,alie,0.4,0.5,0.0977869155424135,cicids2018
foolsgold__atk=alie__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.7259729409228115,0.7038421950333211,0.1480319874677864,25,,0.0,0.0,foolsgold,alie,0.4,,0.1047268681081747,cicids2018
foolsgold__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,0.5,0.0,cicids2018
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,,0.0,cicids2018
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,0.5,0.0,cicids2018
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,,0.0,cicids2018
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,0.6872266370972709,0.7142347195264136,0.7802316269327911,0.7798245899404734,0.0987855099174235,25,,0.0,0.0,foolsgold,label_flip,0.2,0.5,0.0930049898355201,cicids2018
foolsgold__atk=label_flip__mal=0.2__alpha=None,0.3969999383970923,0.4897277682591806,0.5073384463746688,0.5360976027648447,0.3589994548911148,25,,0.0,0.0,foolsgold,label_flip,0.2,,0.1103385079775765,cicids2018
foolsgold__atk=label_flip__mal=0.4__alpha=0.5,0.0915881229594036,0.1012789382829417,0.4742981118708803,0.4730912162344121,0.3424029706724259,25,,0.0,0.0,foolsgold,label_flip,0.4,0.5,0.3827099889114767,cicids2018
foolsgold__atk=label_flip__mal=0.4__alpha=None,0.7922441939259534,0.7783130499392674,0.7315191277028277,0.7180859108108506,0.2732656681303814,25,,0.0,0.0,foolsgold,label_flip,0.4,,0.0607250662231256,cicids2018
krum__atk=alie__mal=0.2__alpha=0.5,0.8571428571428571,0.7968904294198347,0.8428336567485986,0.8129269946869842,0.0485937269849432,25,,0.0,0.0,krum,alie,0.2,0.5,0.0143092003942585,cicids2018
krum__atk=alie__mal=0.2__alpha=None,0.967596870572291,0.960657451333538,0.8964089355017557,0.8936731839680907,0.0690596877885379,25,,0.0,0.0,krum,alie,0.2,,0.0711879350705353,cicids2018
krum__atk=alie__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,krum,alie,0.4,0.5,0.0,cicids2018
krum__atk=alie__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.8068171317686195,0.7846060602405485,0.1217835598053009,25,,0.0,0.0,krum,alie,0.4,,0.0238826772623668,cicids2018
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,0.885618801207417,0.8497635809959164,0.8553794739111685,0.8246391835677966,0.0310314262168095,25,,0.0,0.0,krum,gaussian_noise,0.2,0.5,0.0302393272962484,cicids2018
krum__atk=gaussian_noise__mal=0.2__alpha=None,0.9165126593975236,0.9247121209400342,0.8912670178032404,0.8685947593950485,0.0327428443416117,25,,0.0,0.0,krum,gaussian_noise,0.2,,0.0252456415942832,cicids2018
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8306536068502434,0.7677151676615425,0.8545401342943386,0.8016237223630394,0.0257601719364077,25,,0.0,0.0,krum,gaussian_noise,0.4,0.5,0.0238865274440952,cicids2018
krum__atk=gaussian_noise__mal=0.4__alpha=None,0.9396907534035608,0.9274332330847738,0.9312723310540258,0.9160857859125062,0.0410353769820285,25,,0.0,0.0,krum,gaussian_noise,0.4,,0.0084184223495348,cicids2018
krum__atk=label_flip__mal=0.2__alpha=0.5,0.7628288055196205,0.7766464473916049,0.612741021376209,0.5834160474864594,0.3317238477971307,25,,0.0,0.0,krum,label_flip,0.2,0.5,0.1500877841434115,cicids2018
krum__atk=label_flip__mal=0.2__alpha=None,0.936379597116984,0.9336623152264838,0.7882534805642827,0.8038173876077452,0.2235946605744615,25,,0.0,0.0,krum,label_flip,0.2,,0.1481261165527012,cicids2018
krum__atk=label_flip__mal=0.4__alpha=0.5,0.0504835828251093,0.0579359963564633,0.6319803794739112,0.6040745766139909,0.3455478367296647,25,,0.0,0.0,krum,label_flip,0.4,0.5,0.5814967966488018,cicids2018
krum__atk=label_flip__mal=0.4__alpha=None,0.9135249183761474,0.91939263593986,0.7647692971108236,0.7425988028527665,0.2746361124191825,25,,0.0,0.0,krum,label_flip,0.4,,0.1487556212653237,cicids2018
armor__atk=alie__mal=0.2__alpha=0.5,0.8130657396403701,0.7531770279082869,0.6906924375534502,0.6241944086175519,0.2538182556197629,25,0.5,1.0,0.25,armor,alie,0.2,0.5,0.1223733020869198,ciciot2023
armor__atk=alie__mal=0.2__alpha=None,0.8319135466530426,0.7838592259686946,0.693549596277086,0.6581518414510814,0.2548663978519386,25,,0.0,0.0,armor,alie,0.2,,0.1383639503759566,ciciot2023
armor__atk=alie__mal=0.4__alpha=0.5,0.7227139953574642,0.6063868065077953,0.7227139953574642,0.6063868065077953,0.0,25,0.0,0.0,0.1666666666666666,armor,alie,0.4,0.5,0.0,ciciot2023
armor__atk=alie__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992,0.4644021346779657,0.4227125952201799,0.3456835166789908,25,0.0,0.0,0.5,armor,alie,0.4,,0.4410450703599631,ciciot2023
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,0.0,0.0,0.25,armor,gaussian_noise,0.2,0.5,0.0,ciciot2023
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,armor,gaussian_noise,0.2,,0.0,ciciot2023
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,0.5,0.0,ciciot2023
armor__atk=gaussian_noise__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,,0.0,ciciot2023
armor__atk=label_flip__mal=0.2__alpha=0.5,0.7915967879871608,0.7467518432187731,0.6066950253784555,0.5985230957229293,0.1729171767900471,25,0.0,0.0,0.375,armor,label_flip,0.2,0.5,0.1849017626087052,ciciot2023
armor__atk=label_flip__mal=0.2__alpha=None,0.8275708875240179,0.7989613694334111,0.6122885591479059,0.6167506553879271,0.148435127525831,25,,0.0,0.0,armor,label_flip,0.2,,0.2152823283761119,ciciot2023
armor__atk=label_flip__mal=0.4__alpha=0.5,0.4827126625720537,0.4977726208117574,0.5281800815220409,0.5191373118327606,0.2362764437184742,25,0.6666666666666666,0.5,0.1666666666666666,armor,label_flip,0.4,0.5,0.0454674189499871,ciciot2023
armor__atk=label_flip__mal=0.4__alpha=None,0.4876661816808645,0.5229227035567486,0.6543032308939658,0.6131279006496126,0.2029821318741393,25,,0.0,0.0,armor,label_flip,0.4,,0.1666370492131013,ciciot2023
