run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,0.7352161933022467,0.7682876394703771,0.40076347675568746,0.4174661763210673,0.31958824448144446,25,,0.0,0.0,foolsgold,label_flip,0.2,0.5,0.3344527165465593
foolsgold__atk=label_flip__mal=0.2__alpha=None,0.8457503179313268,0.8432291537530414,0.64969928995337,0.6807575243670188,0.21659382852646664,25,,0.0,0.0,foolsgold,label_flip,0.2,None,0.19605102797795682
foolsgold__atk=label_flip__mal=0.4__alpha=0.5,0.06392185954500494,0.01747662112502413,0.7073707079270877,0.7027515175123034,0.2693881899061635,25,,0.0,0.0,foolsgold,label_flip,0.4,0.5,0.6434488483820827
foolsgold__atk=label_flip__mal=0.4__alpha=None,0.5518581319768263,0.615245668495253,0.6740938957185247,0.6831838353764277,0.2630581429109465,25,,0.0,0.0,foolsgold,label_flip,0.4,None,0.12223576374169842
krum__atk=alie__mal=0.2__alpha=0.5,0.8091705524939946,0.7302782009848983,0.755720556026565,0.7527910540738185,0.1401112333886944,25,,0.0,0.0,krum,alie,0.2,0.5,0.05344999646742965
krum__atk=alie__mal=0.2__alpha=None,0.850713579200226,0.8462528129751071,0.8768545994065282,0.8676080550730687,0.03017523843897469,25,,0.0,0.0,krum,alie,0.2,None,0.026141020206302157
krum__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,krum,alie,0.4,0.5,0.0
krum__atk=alie__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.738216670199237,0.688675509923578,0.24390510613062522,25,,0.0,0.0,krum,alie,0.4,None,0.06478954712448781
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,0.6562985728415995,0.7162148147277759,0.7550007948283171,0.7694697265246009,0.11820054002984648,25,,0.0,0.0,krum,gaussian_noise,0.2,0.5,0.09870222198671752
krum__atk=gaussian_noise__mal=0.2__alpha=None,0.7377419810654232,0.7945870895177356,0.7971885156139606,0.8084854962551358,0.05330211668143796,25,,0.0,0.0,krum,gaussian_noise,0.2,None,0.05944653454853743
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8295004945598418,0.8148671274376253,0.857412215628091,0.851381296441423,0.025554665101223062,25,,0.0,0.0,krum,gaussian_noise,0.4,0.5,0.02791172106824924
krum__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7153129947819404,0.8026706231454006,0.7169264335411782,0.0008021054616828877,25,,0.0,0.0,krum,gaussian_noise,0.4,None,0.00033559417832418337
krum__atk=label_flip__mal=0.2__alpha=0.5,0.8107248834251801,0.786142695517963,0.6856873498657623,0.7058569101179911,0.1680921067771524,25,,0.0,0.0,krum,label_flip,0.2,0.5,0.12503753355941782
krum__atk=label_flip__mal=0.2__alpha=None,0.9040730535537658,0.8939181343909949,0.8355433976261128,0.8153121655335083,0.04279553501204633,25,,0.0,0.0,krum,label_flip,0.2,None,0.06852965592765292
krum__atk=label_flip__mal=0.4__alpha=0.5,0.8738519146531016,0.8415578201090691,0.7382034230606189,0.678931102220224,0.24883776564073462,25,,0.0,0.0,krum,label_flip,0.4,0.5,0.1356484915924827
krum__atk=label_flip__mal=0.4__alpha=None,0.8382789317507419,0.8090155967013506,0.7204699201639113,0.7027586282858866,0.2612554898863827,25,,0.0,0.0,krum,label_flip,0.4,None,0.11780901158683055
